symbole,entrée,sortie,sens,prix_entrée,prix_sortie,brut_bp,coût_bp,net_bp,net_eur,motif_sortie
QQQ,2026-06-09T14:45:00+00:00,2026-06-09T15:25:00+00:00,achat,712.18,704.8098,-103.4872,0.7,-104.1872,-1.0419,stop
SPY,2026-06-09T14:45:00+00:00,2026-06-09T15:20:00+00:00,achat,738.63,734.2484,-59.3203,0.5,-59.8203,-0.5982,stop
SPY,2026-06-09T15:30:00+00:00,2026-06-09T16:30:00+00:00,achat,731.0,727.25,-51.2996,0.5,-51.7996,-0.518,durée
QQQ,2026-06-09T15:35:00+00:00,2026-06-09T16:35:00+00:00,achat,701.57,688.3735,-188.1004,0.7,-188.8004,-1.888,stop
SPY,2026-06-09T16:40:00+00:00,2026-06-09T17:40:00+00:00,achat,723.38,732.96,132.4341,0.5,131.9341,1.3193,durée
QQQ,2026-06-09T16:45:00+00:00,2026-06-09T17:45:00+00:00,achat,689.89,698.6999,127.6997,0.7,126.9997,1.27,durée
SPY,2026-06-09T18:10:00+00:00,2026-06-09T19:10:00+00:00,vente,733.5837,735.31,-23.5327,0.5,-24.0327,-0.2403,durée
QQQ,2026-06-09T19:00:00+00:00,2026-06-09T19:55:00+00:00,vente,706.7,707.96,-17.8295,0.7,-18.5295,-0.1853,clôture
QQQ,2026-06-10T13:35:00+00:00,2026-06-10T14:35:00+00:00,achat,699.88,709.02,130.594,0.7,129.894,1.2989,durée
SPY,2026-06-10T13:35:00+00:00,2026-06-10T14:35:00+00:00,achat,731.805,736.57,65.1132,0.5,64.6132,0.6461,durée
SPY,2026-06-10T15:00:00+00:00,2026-06-10T15:15:00+00:00,achat,732.87,729.5615,-45.1439,0.5,-45.6439,-0.4564,stop
QQQ,2026-06-10T15:10:00+00:00,2026-06-10T16:10:00+00:00,achat,701.06,698.54,-35.9458,0.7,-36.6458,-0.3665,durée
SPY,2026-06-10T15:35:00+00:00,2026-06-10T16:35:00+00:00,achat,730.99,731.97,13.4062,0.5,12.9062,0.1291,durée
QQQ,2026-06-10T17:10:00+00:00,2026-06-10T18:10:00+00:00,achat,697.41,699.86,35.1302,0.7,34.4302,0.3443,durée
SPY,2026-06-10T17:10:00+00:00,2026-06-10T17:35:00+00:00,achat,729.67,728.2698,-19.1898,0.5,-19.6898,-0.1969,stop
SPY,2026-06-10T17:45:00+00:00,2026-06-10T18:45:00+00:00,achat,727.97,727.91,-0.8242,0.5,-1.3242,-0.0132,durée
SPY,2026-06-10T18:55:00+00:00,2026-06-10T19:25:00+00:00,achat,727.71,725.6224,-28.6872,0.5,-29.1872,-0.2919,stop
QQQ,2026-06-10T19:20:00+00:00,2026-06-10T19:55:00+00:00,achat,694.07,693.71,-5.1866,0.7,-5.8866,-0.0589,clôture
QQQ,2026-06-11T13:45:00+00:00,2026-06-11T13:45:00+00:00,vente,698.95,701.9469,-42.8775,0.7,-43.5775,-0.4358,stop
QQQ,2026-06-11T13:55:00+00:00,2026-06-11T14:55:00+00:00,vente,704.49,696.7505,109.8596,0.7,109.1596,1.0916,durée
SPY,2026-06-11T13:55:00+00:00,2026-06-11T14:55:00+00:00,vente,731.01,725.6,74.0077,0.5,73.5077,0.7351,durée
QQQ,2026-06-11T16:10:00+00:00,2026-06-11T17:10:00+00:00,vente,702.71,699.0,52.7959,0.7,52.0959,0.521,durée
SPY,2026-06-11T16:15:00+00:00,2026-06-11T17:15:00+00:00,vente,729.95,725.7,58.2232,0.5,57.7232,0.5772,durée
QQQ,2026-06-11T17:20:00+00:00,2026-06-11T18:20:00+00:00,achat,697.97,709.89,170.7816,0.7,170.0816,1.7008,durée
SPY,2026-06-11T17:30:00+00:00,2026-06-11T17:40:00+00:00,vente,732.54,735.5158,-40.6239,0.5,-41.1239,-0.4112,stop
SPY,2026-06-11T17:50:00+00:00,2026-06-11T18:50:00+00:00,vente,734.84,735.73,-12.1108,0.5,-12.6108,-0.1261,durée
QQQ,2026-06-11T19:20:00+00:00,2026-06-11T19:55:00+00:00,vente,714.65,716.56,-26.726,0.7,-27.426,-0.2743,clôture
SPY,2026-06-11T19:25:00+00:00,2026-06-11T19:30:00+00:00,vente,737.33,739.8024,-33.5317,0.5,-34.0317,-0.3403,stop
SPY,2026-06-11T19:40:00+00:00,2026-06-11T19:55:00+00:00,vente,738.935,737.64,17.525,0.5,17.025,0.1702,clôture
QQQ,2026-06-12T14:10:00+00:00,2026-06-12T15:10:00+00:00,vente,719.63,722.4534,-39.2344,0.7,-39.9344,-0.3993,durée
SPY,2026-06-12T14:10:00+00:00,2026-06-12T15:10:00+00:00,vente,740.19,743.1328,-39.7572,0.5,-40.2572,-0.4026,stop
QQQ,2026-06-12T15:20:00+00:00,2026-06-12T16:20:00+00:00,vente,723.33,719.92,47.1435,0.7,46.4435,0.4644,durée
SPY,2026-06-12T15:20:00+00:00,2026-06-12T16:20:00+00:00,vente,743.64,740.78,38.4593,0.5,37.9593,0.3796,durée
QQQ,2026-06-12T19:35:00+00:00,2026-06-12T19:55:00+00:00,achat,720.16,721.32,16.108,0.7,15.408,0.1541,clôture
SPY,2026-06-12T19:35:00+00:00,2026-06-12T19:55:00+00:00,achat,740.53,741.66,15.2586,0.5,14.7586,0.1476,clôture
QQQ,2026-06-15T13:35:00+00:00,2026-06-15T14:35:00+00:00,vente,738.64,740.58,-26.2645,0.7,-26.9645,-0.2696,durée
SPY,2026-06-15T13:35:00+00:00,2026-06-15T14:35:00+00:00,vente,752.7,753.39,-9.167,0.5,-9.667,-0.0967,durée
QQQ,2026-06-15T15:30:00+00:00,2026-06-15T16:30:00+00:00,vente,743.16,743.8971,-9.9187,0.7,-10.6187,-0.1062,durée
SPY,2026-06-15T15:30:00+00:00,2026-06-15T16:00:00+00:00,vente,755.12,756.4909,-18.1548,0.5,-18.6548,-0.1865,stop
SPY,2026-06-15T16:10:00+00:00,2026-06-15T17:10:00+00:00,vente,756.3,755.79,6.7435,0.5,6.2435,0.0624,durée
SPY,2026-06-15T17:55:00+00:00,2026-06-15T18:00:00+00:00,achat,755.41,754.8415,-7.5253,0.5,-8.0253,-0.0803,stop
QQQ,2026-06-15T18:05:00+00:00,2026-06-15T19:05:00+00:00,achat,742.95,743.35,5.3834,0.7,4.6834,0.0468,durée
SPY,2026-06-15T18:10:00+00:00,2026-06-15T19:10:00+00:00,achat,755.02,755.01,-0.1326,0.5,-0.6326,-0.0063,durée
QQQ,2026-06-15T19:25:00+00:00,2026-06-15T19:55:00+00:00,achat,743.02,743.81,10.632,0.7,9.932,0.0993,clôture
